key,value_en,value_fr
presentation_title,"Hello. I'm Baptiste Le Chapelain, a sound creator based in Brussels.","Bonjour. Je suis Baptiste Le Chapelain, créateur sonore basé à Bruxelles."
presentation_intro,Following are useful instructions to guide you through my website :,Voici quelques instructions pour vous guider à travers mon site :
presentation_theatre,"- « Sounds for theatre » or ""theatre"" : This tab showcases various theatre plays I've been working on as sound designer, composer and following on tour as sound manager.","- « Sounds for theatre » ou « theatre » : cet onglet présente les pièces de théâtre sur lesquelles j'ai travaillé en tant que sound designer, compositeur et sound manager en tournée."
presentation_music,"- In « Music » you can find all the music projects i've released, mostly under my main moniker Apulati Bien, but also some other collaborative projects i've participated in. Click on each cover to listen to the music.","- Dans « Music » vous trouverez tous les projets musicaux que j'ai sortis, principalement sous mon alias principal Apulati Bien, mais aussi d'autres projets collaboratifs auxquels j'ai participé. Cliquez sur chaque pochette pour écouter la musique."
presentation_audiovisual,"- In Audiovisual you will find video excerpts of projects I've worked on as sound designer for short and feature films, teasers for theatre and collaboration I've made with video artists.","- Dans Audiovisual vous trouverez des extraits vidéo de projets sur lesquels j'ai travaillé en tant que sound designer pour des courts et longs métrages, des teasers pour le théâtre et des collaborations avec des artistes vidéo."
presentation_image,,
bio_p1,"Baptiste Le Chapelain graduated with a master in fine arts at Villa Arson in 2016, a background that continues to inform his practice. He approaches sound as a space of experimentation, assembling textures much like a painter composes his canvas. His work seeks to create soothing, balanced environments, reflecting a sensibility rooted in visual art. Drawn to the immaterial and ethereal qualities of sound, he shifted toward this medium to invite listeners to form their own mental images, rather than presenting them outright.","Baptiste Le Chapelain est diplômé d'un master en arts plastiques de la Villa Arson en 2016, une formation qui continue d'informer sa pratique. Il aborde le son comme un espace d'expérimentation, assemblant des textures comme un peintre compose sa toile. Son travail cherche à créer des environnements apaisants et équilibrés, reflétant une sensibilité ancrée dans les arts visuels. Attiré par les qualités immatérielles et éthérées du son, il s'est tourné vers ce médium pour inviter les auditeurs à former leurs propres images mentales, plutôt que de les présenter de manière explicite."
bio_p2,"After his studies he focused on music, releasing various albums under the alias Apulati Bien, collaborating with labels like Promesses, Kraak, Deardogs, Cold Moss and Bamboo Shows. Apulati Bien is an ongoing and ever evolving project enabling him to research, test and approach music playfully. This project is a laboratory where ideas for future collaborations can originate, oftentimes he presents them during live shows. He envisions them as immersive and listening spaces in constant mutation. He's also part of IVM trio with Mika Oki and Sebastien Forrester, a project putting forward live performance with electronic and percussive improvisations.","Après ses études, il s'est concentré sur la musique, publiant plusieurs albums sous le pseudonyme Apulati Bien, en collaborant avec des labels comme Promesses, Kraak, Deardogs, Cold Moss et Bamboo Shows. Apulati Bien est un projet continu et en constante évolution qui lui permet de rechercher, tester et aborder la musique de manière ludique. Ce projet est un laboratoire où naissent des idées pour de futures collaborations, souvent présentées lors de performances live. Il les conçoit comme des espaces immersifs et d'écoute en mutation constante. Il fait également partie du trio IVM avec Mika Oki et Sebastien Forrester, un projet mettant en avant la performance live avec des improvisations électroniques et percussives."
bio_p3,"These experiences have brought him to create sound environments for theatre and audiovisual productions. He has collaborated recently with creators such as Marvin M'Toumo, Davide-Christelle Sanvee, Némo Camus and Stanislas Paruzel. For each project, he develops bespoke sonic landscapes that engage in dialogue with the production's architecture, performers and narrative. His work as a sound manager extends this creative practice, allowing him to accompany each theatre piece from its inception through to live performances. Working across both sound design and composition gives him a comprehensive command of sound as a dramaturgical and emotional bond with performance.","Ces expériences l'ont amené à créer des environnements sonores pour le théâtre et les productions audiovisuelles. Il a récemment collaboré avec des créateurs tels que Marvin M'Toumo, Davide-Christelle Sanvee, Némo Camus et Stanislas Paruzel. Pour chaque projet, il développe des paysages sonores sur mesure qui dialoguent avec l'architecture de la production, ses interprètes et sa narration. Son travail de sound manager prolonge cette pratique créative, lui permettant d'accompagner chaque pièce de théâtre de sa création jusqu'aux représentations. Travailler à la fois comme sound designer et compositeur lui donne une maîtrise globale du son comme lien dramaturgique et émotionnel avec la performance."
bio_p4,"He's also part of IVM trio with Mika Oki and Sebastien Forrester, a group putting forward improvisation and live performance.","Il fait également partie du trio IVM avec Mika Oki et Sebastien Forrester, un groupe mettant en avant l'improvisation et la performance live."
contact_email,hello@baptistelechapelain.com,hello@baptistelechapelain.com
contact_instagram,@baptistelechapelain,@baptistelechapelain
